"CASE	""SERIAL""	""REF""	""QUESTNNR""	""MODE""	""STARTED""	""SD01""	""SD15_01""	""SD15_01a""	""SD19_01""	""SD20_01""	""ST01""	""ST01_01""	""CO02_01""	""CO02_02""	""CO06_01""	""CO06_02""	""CO06_03""	""CO07_01""	""CO07_02""	""CO07_03""	""CO07_04""	""CO07_05""	""CO05_01""	""CO05_02""	""CO05_03""	""CO05_04""	""CO05_05""	""CO08_01""	""CO08_02""	""CO08_03""	""CO09_01""	""CO09_02""	""CO09_03""	""CO10_01""	""CO17_01""	""CO11_01""	""CO18_01""	""CO12_01""	""CO19_01""	""CO13_01""	""CO20_01""	""CO14_01""	""CO21_01""	""CO15_01""	""CO22_01""	""Z101_CP""	""Z101""	""Z104_CP""	""Z104x01""	""Z104x02""	""Z104x03""	""Z104x04""	""Z104x05""	""Z104x06""	""Z105_CP""	""Z105x01""	""Z105x02""	""Z105x03""	""Z105x04""	""Z105x05""	""Z105x06""	""TIME002""	""TIME003""	""TIME004""	""TIME005""	""TIME006""	""TIME007""	""TIME008""	""TIME009""	""TIME010""	""TIME011""	""TIME012""	""TIME013""	""TIME014""	""TIME015""	""TIME016""	""TIME017""	""TIME018""	""TIME019""	""TIME_SUM""	""MAILSENT""	""LASTDATA""	""FINISHED""	""Q_VIEWER""	""LASTPAGE""	""MAXPAGE""	""MISSING""	""MISSREL""	""TIME_RSI""	""DEG_TIME"""
"75			""base""	""interview""	2022-05-01 20:44:32	1	""Physiotherapeut ""	F	31		1	T	1	7	4	2	5	4	4	3	3	3	3	3	3	5	3	3	2	3	4	4	4	3			7		4	3		3			7	10	1	11	1	6	2	5	3	4	30	4	6	5	2	1	3	26	34	97	26	10	10	12	119	14	26	17	48	50	58	36	23	95	7	498		2022-05-01 20:56:20	T	F	19	19	3	0	0.66	1"
"76			""base""	""interview""	2022-05-01 20:44:49	2	""Ingenieur""	F	32		1	T	7	7	4	4	7	5	5	5	5	6	7	7	7	7	7	5	5	5	5	6	5		7	7		7			7		7	7		10	2	10	4	2	3	6	5	1	29	3	6	2	4	5	1	12	11	44	17	8	15	20	14	8	15	10	14	65	46	48	30	22	2	356		2022-05-01 20:51:30	T	F	19	19	3	0	1.05	9"
"88			""base""	""interview""	2022-05-01 20:54:42	2	""Softwareentwickler""	F	30		1	T	6	5	6	5	6	6	6	6	5	6	6	6	6	6	7	6	6	6	6	6	6		6	2		2			6		6	2		11	2	12	5	2	1	3	4	6	31	6	2	1	4	5	3	6	19	48	19	18	9	7	9	7	23	10	19	39	27	26	31	81	4	343		2022-05-01 21:01:24	T	F	19	19	3	0	1.1	12"
"94			""base""	""interview""	2022-05-01 21:47:34	1	""Ingenieurin ""	F	31		1	T	5	6	5	3	6	5	5	3	6	5	5	4	5	5	5	5	5	5	5	5	5		7	2		3			6		6	2		11	2	13	2	3	6	5	1	4	32	3	5	1	2	6	4	23	17	79	25	16	16	23	13	16	10	27	13	44	43	17	14	13	4	413		2022-05-01 21:54:27	T	F	19	19	3	0	0.95	8"
"105			""base""	""interview""	2022-05-01 22:13:16	2	""Softwareentwickler""	F	32		1	T	6	7	6	6	5	7	6	6	7	6	7	6	5	7	7	6	6	7	6	5	6	3			7		7	4		4			7	11	1	14	4	3	5	1	6	2	34	3	2	5	6	4	1	5	17	163	37	9	10	143	15	17	11	57	12	21	98	129	21	67	7	382		2022-05-01 22:27:15	T	F	19	19	3	0	0.83	8"
"131			""base""	""interview""	2022-05-01 23:15:07	1	""Hausfrau""	F	62		1	T	1	4	6	2	5	2	2	6	7	4	5	2	1	7	6	5	1	1	3	1	2	7			7		7	7		7			5	12	1	15	3	2	6	5	4	1	35	6	5	2	3	1	4	4	25	69	26	12	18	13	13	21	40	28	28	34	63	42	28	33	4	501		2022-05-01 23:23:28	T	F	19	19	3	0	0.83	7"
"150			""base""	""interview""	2022-05-02 09:23:02	2	""Lehrer""	F	63		1	T	2	6	6	3	5	7	2	4	7	3	6	2	2	7	7	6	6	3	6	3	3	3			5		6	5		5			6	13	1	16	3	5	2	1	4	6	38	2	5	4	3	1	6	18	21	56	21	43	44	32	11	33	10	42	17	30	72	67	76	22	4	504		2022-05-02 09:33:23	T	F	19	19	3	0	0.67	1"
"154			""base""	""interview""	2022-05-02 10:16:28	1	""Softwareentwicklung""	F	32		1	T	7	3	7	7	7	7	7	7	4	7	7	4	7	7	7	7	7	3	7	7	7	2			7		7	7		2			7	14	1	17	6	3	2	5	1	4	39	1	5	2	6	3	4	4	16	27	10	21	7	8	6	3	5	5	9	11	13	9	37	10	1	202		2022-05-02 10:19:50	T	F	19	19	3	0	2.05	62"
"161			""base""	""interview""	2022-05-02 10:33:35	2	""Wissenschaftlicher Mitarbeiter""	F	36		1	T	5	7	2	2	2	2	2	2	5	2	2	2	2	6	6	3	2	2	2	2	2	6			7		7	6		6			7	15	1	18	2	4	3	1	5	6	40	5	4	2	6	3	1	15	23	14	12	7	7	7	6	14	13	9	17	32	29	34	19	7	4	269		2022-05-02 10:38:04	T	F	19	19	3	0	1.43	25"
"162			""base""	""interview""	2022-05-02 10:40:02	1	""Sekretariat""	F	28		1	T	4	6	5	3	4	5	3	3	5	5	4	4	3	4	5	4	3	2	4	4	4		7	2		3			7		7	3		16	2	19	3	5	2	1	6	4	41	4	2	1	3	5	6	24	65	39	14	10	19	9	18	13	7	8	12	14	32	21	19	11	5	293		2022-05-02 10:45:42	T	F	19	19	3	0	1.16	14"
